TIME_AHEAD;Данная технология стоит нам слишком дорого, поскольку она опережает свое время на следующее число лет: $NUMBER$.;Cette technologie est de $NUMBER$ ans en avance sur son temps, elle est donc plus difficile а atteindre.;Diese Technologie ist ihrer Zeit $NUMBER$ Jahr(e) voraus und daher schwerer zu erforschen.;;Esta tecnologнa estб $NUMBER$ aсos adelantada a su йpoca, por lo que es mбs difнcil de conseguir.;;;;;;;;;x
CHAT_NONE;Нет;Aucun;Keine;;Ninguno;;;;;;;;;x
ABANDON_GAME;Отказаться от игры;Abandonner la partie;Spiel beenden;;Salir juego;;;;;;;;;x
LOCAL_TRADE_INCOME_MODIFIER;Доход от торговли в провинции;Modificateur de revenus du commerce local;Lokaler Handelseinkommenmodifikator;;Modificador de ingresos por comercio local;;;;;;;;;x
GLOBAL_TRADE_INCOME_MODIFIER;Доход от торговли;Modificateur de revenus du commerce national;Nationaler Handelseinkommenmodifikator;;Modificador de ingresos por comercio nacional;;;;;;;;;x
UV_MANPOWER;Человек:;Hommes :;Mдnner:;;Hombres:;;;;;;;;;x
UV_REGIMENTS;Полков:;Rйgiments :;Regimenter:;;Regimientos:;;;;;;;;;x
CONVERT_RULER_NOT_POSSIBLE_4_IRO;Мы являемся младшим партнером в личной унии.;Vous кtes le membre secondaire d'une union.;Ihr seld Juniorpartner einer Personalunion;;Sois la parte dйbil de una uniуn.;;;;;;;;;x
CONVERT_RULER_NOT_POSSIBLE_4_DRO;Только старший партнер в личной унии может сделать правителя генералом.;Seul le membre principal de l'union a le plein contrфle du monarque et pourra faire de lui un souverain.;Nur der Seniorpartner einer Personalunion hat volle Kontrolle ьber den Monarchen und kann ihn zu einem Anfьhrer machen.;;Solo la parte fuerte de una uniуn tiene control absoluto sobre el monarca y podrб convertirlo en un gobernante.;;;;;;;;;x
NOT_BROKEN;Их армии еще не разбиты.;Leurs armйes ne sont encore pas entiиrement battues.;Ihre Armeen sind noch nicht besiegt.;;Sus ejйrcitos aъn no han sido derrotados.;;;;;;;;;x
