slovak;Словацк.;;;;;;;;;;;;;x
iranian_group;Иранская группа;;;;;;;;;;;;;x
crimean;Крымск.;;;;;;;;;;;;;x
nogai;Ногайская орда;;;;;;;;;;;;;x
lowland;Lowland Region;;;;;;;;;;;;;x
swiss;Швейцарская;;;;;;;;;;;;;x
NIT;Нитра;;;;;;;;;;;;;x
NIT_ADJ;Нитринск.;;;;;;;;;;;;;x
NIT_ADJ2;Нитринск.;;;;;;;;;;;;;x
savoyan;Savoyan;;;;;;;;;;;;;x
bolgar;Булгарская;;;;;;;;;;;;;x
monastic_order;Монашеский орден;;;;;;;;;;;;;x
monastic_order_ruler;Грандмастер;;;;;;;;;;;;;x
monastic_order_vassal;Monastic Estate;;;;;;;;;;;;;x
monastic_order_ruler_vassal;Master;;;;;;;;;;;;;x
EVTNAME11941;A Formal Response.;;;;;;;;;;;;;
EVTDESC11941;Province $FROM$ is being offered to us.;;;;;;;;;;;;;
EVTOPTA11941;We accept $FROM$.;;;;;;;;;;;;;
EVTOPTB11941;Allow them to keep $FROM$.;;;;;;;;;;;;;
EVTNAME111108;Province becoming core.;;;;;;;;;;;;;
EVTDESC111108;We are now able to integrate this province into our domain.;;;;;;;;;;;;;
EVTOPTA111108;Excellent!;;;;;;;;;;;;;
LEO;Леон;;;;;;;;;;;;;x
LEO_ADJ;Леонск.;;;;;;;;;;;;;x
LEO_ADJ2;Леонск.;;;;;;;;;;;;;x
ASR;Астурия;;;;;;;;;;;;;x
ASR_ADJ;Астурийск.;;;;;;;;;;;;;x
ASR_ADJ2;Астурийск.;;;;;;;;;;;;;x
TOL;Толедо;;;;;;;;;;;;;x
TOL_ADJ;Толедск.;;;;;;;;;;;;;x
TOL_ADJ2;Толедск.;;;;;;;;;;;;;x
VZC;Бискайя;;;;;;;;;;;;;x
VZC_ADJ;Бискайск.;;;;;;;;;;;;;x
VZC_ADJ2;Бискайск.;;;;;;;;;;;;;x
VAL;Валенсия;;;;;;;;;;;;;x
VAL_ADJ;Валенсийск.;;;;;;;;;;;;;x
VAL_ADJ2;Валенсийск.;;;;;;;;;;;;;x
ALR;Алгарви;;;;;;;;;;;;;x
