LOG_SETTING_PAUSE;Ïîêàçûâàòü â îêíå è ñòàâèòü ïàóçó.;Pop-up et Pause;Popup und Pause;Pauza przy wyskakuj¹cym oknie;Pausa con ventana emergente;Pausa;Elõugrók és szünet;Rozevírací okno a pauza;;;;;;x
SM_WATER;Óëó÷øåííàÿ âîäà;Mer animée;Komplexes Meer;Ulepszona woda;Agua avanzada;Acqua;Részletes víz ;Voda (pro pokroèilé);;;;;;x
EVTNAME4043;Íåâûãîäíàÿ òîğãîâëÿ;Commerce déficitaire;Unrentabler Handel;Handel bez zysku;Comercio infructuoso;Commercio senza profitto;Haszot nem hozó kereskedelem;Nevıhodnı obchod;;;;;;x
EVTDESC4043;Ïëîõèå óñëîâèÿ äëÿ òîğãîâëè, âîçíèêøèå â ğåçóëüòàòå ñîêğàùåíèÿ äîñòóïíûõ ğåñóğñîâ è óâåëè÷åíèÿ êîíêóğåíöèè çà íèõ, ïğèâåëè ê ğåçêîìó ñïàäó èõ äîõîäîâ îò çàìîğñêèõ òåğğèòîğèé. İòè ïå÷àëüíûå îáñòîÿòåëüñòâà âûíóæäàşò íàñ çàêğûòü Îñò-Èíäñêóş òîğãîâóş êîìïàíèş.;De mauvaises conditions commerciales résultant d'une diminution des ressources et d'une compétition accrue ont conduit à une forte baisse de nos revenus d'outre-mer. Cette mauvaise situation ne nous a pas laissé d'autre choix que de fermer notre Compagnie des Indes Orientales.;Schlechte Handelsbedingungen, ein Ergebnis schwindender Ressourcen und wachsender Konkurrenz, haben zu einem scharfen Abfall unserer Einkommen aus Übersee geführt. Diese unvorteilhaften Umstände lassen uns keine andere Wahl, als unser Ostindisches Handelshaus aufzulösen.;Kiepskie warunki handlu, bêd¹ce wynikiem zmniejszaj¹cej siê iloœci zaosbów oraz zwiêkszaj¹cej siê konkurencji, doprowadzi³y do gwa³townej obni¿ki zysków z handlu kolonialnego. Te niesprzyjaj¹ce okolicznoœci zmuszaj¹ nas do zamkniêcia Kompanii Wschodnioindyjskiej.;Las malas condiciones comerciales, resultado de la merma de recursos y el aumento de competencia, han llevado a un pronunciado declive de nuestros ingresos de ultramar. Estas desafortunadas circunstancias no nos dejan más alternativa que clausurar la compañía de las Indias Orientales.;Condizioni di commercio scarse in conseguenza delle risorse in diminuzione e della crescita della concorrenza hanno portato a un rapido declino delle nostre entrate da oltreoceano. Questa tristi circostanze ci hanno portato inevitabilmente a chiudere la nostra compagnia di commercio delle Indie.;Az rossz kereskedelmi feltételek miatt a tengerentúli kereskedelmi partnereink sorozatban visszautasítják ajánlatainkat. Ezeknek a balszerencsés eseményeknek köszönhetõen nem maradt más választásunk, mint hogy be kell zárnunk a Kelet-indiai Kereskedelmi vállalatot.;Surovinové zdroje byly vyèerpány a konkurence narostla – obchodní podmínky se zhoršily a zámoøské pøíjmy poklesly. Tyto nešastné okolnosti nám neponechaly jinou monost ne zavøít naši Vıchodoindickou spoleènost.;;;;;;x
EVTOPTA4043;×òî çà íåñ÷àñòüå!;Quel désastre !;Was für eine Katastrophe!;Co za katastrofa!;¡Qué desastre!;Che disastro!;Micsoda katasztrófa!;Taková katastrofa!;;;;;;x
hungarian_hussarDESCR;Íåóäåğæèìûå ïîäğàçäåëåíèÿ âåíãåğñêîé ëåãêîé êàâàëåğèè, ïğîñëàâëåííûå íà âñş Åâğîïó ñâîåé âûñîêîé äèñöèïëèíîé è ìàñòåğñòâîì.;Une unité de cavalerie hongroise exubérante connue dans toute l'Europe pour son niveau élevé de discipline et d'efficacité.;Eine leichte, aber schneidige ungarische Kavallerieeinheit, die in ganz Europa für ihre Disziplin und ihr Können berühmt war.;Doskona³a wêgierska kawaleria, znana w ca³ej Europie ze wzglêdu na swoj¹ dyscyplinê i umiejêtnoœci.;Una exultante unidad de caballería de húsares ligeros húngaros, famosos en toda Europa por su gran disciplina y habilidad.;Una unità di cavalleria leggera ungherese rinomata in tutta Europa per la sua forte disciplina e le ottime abilità.;Egy lelkes lovasokbólAn exuberant Hungarian light cavalry unit renowned throughout Europe for its high discipline and skill.;Rychlá maïarská lehká kavalerie, která je po celé Evropì známá svou disciplínou a dovedností.;;;;;;x
CREATE_NATIVE;Â ïğîâèíöèè $WHERE$ ïîÿâÿòñÿ âğàæäåáíûå òóçåìöû, ÷èñëî ïëåìåí êîòîğûõ áóäåò ğàâíî $SIZE$.\n;$SIZE$ tribu (s) d'indigènes hostiles va/vont apparaître en $WHERE$.\n;$SIZE$ Stämme feindschaftlicher Eingeborener erscheinen in $WHERE$.\n;$SIZE$ plemiê (plemiona) wrogich tubylców pojawi siê w $WHERE$.\n;$SIZE$ tribu(s) de indígenas hostiles aparecerán en $WHERE$.\n;Tribù $SIZE$ di nativi ostili appariranno a: $WHERE$.\n;$SIZE$ ellenséges törzs érkezik $WHERE$-hez.\n;$SIZE$ kmen nepøátelskıch domorodcù se objeví v $WHERE$.\n;;;;;;x
CHANGE_SIEGE;Çàùèòíèêè êğåïîñòè â ïğîâèíöèè $WHERE$ ïîëó÷àò $SIZE$ øòğàô.;Les défenseurs dans le siège de $WHERE$ vont subir des pénalités $SIZE$.;Die Verteidiger der Belagerung von $WHERE$ erleiden $SIZE$ Punktabzug.;Obroñcy w trakcie oblê¿enia $WHERE$ otrzymuj¹ karê $SIZE$.;Los defensores del asedio de $WHERE$ tendrán penalizaciones $SIZE$.;I difensori nell'assedio di $WHERE$ subiranno danni $SIZE$.;$WHERE$ ostromában a védõk $SIZE$ büntetést kapnak.;Obránce obléhané pevnosti v $WHERE$ obdrí postih $SIZE$.;;;;;;x
SIEGE_MINOR;íåáîëüøîé;mineures;klein;Ma³a;pequeñas;minori;kis;menší;;;;;;x
SIEGE_AVERAGE;ñğåäíèé;moyennes;durchschnittlich;Œrednia;medias;medi;közepes mértékû;prùmìrnı;;;;;;x
